Gene,Day,Freq
Chi,0,0.559322034
Chi,6,0.147058824
Chi,26,0.270833333
Chi,26,0.204819277
Chi,26,0.208955224
Unk-HSP70-like,0,0.347107438
Unk-HSP70-like,6,0.384976526
Unk-HSP70-like,26,0.411111111
Unk-HSP70-like,26,0.428571429
Unk-HSP70-like,26,0.492753623
Kif13,0,0.192
Kif13,6,0.46
Kif13,26,0.430939227
Kif13,26,0.421965318
Kif13,26,0.444444444
Trip11-like,0,0.701863354
Trip11-like,6,0.421768707
Trip11-like,26,0.572727273
Trip11-like,26,0.513761468
Trip11-like,26,0.563636364
Arih1,0,0.219178082
Arih1,6,0.542635659
Arih1,26,0.513043478
Arih1,26,0.516853933
Arih1,26,0.483333333
Tyr1,0,0.84375
Tyr1,6,0.511111111
Tyr1,26,0.744827586
Tyr1,26,0.676767677
Tyr1,26,0.6